nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
nuysoft/Mock,https://github.com/nuysoft/Mock,18956,5,3,,9.922222222222222,8.0,50.0
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,18946,331,141,,214.81347222222223,1260.0,3530.0
jorgebucaran/hyperapp,https://github.com/jorgebucaran/hyperapp,18937,100,2,,95.93444444444444,55.0,500.0
SortableJS/Vue.Draggable,https://github.com/SortableJS/Vue.Draggable,18795,36,0,,0.0,0.0,148.0
jsdom/jsdom,https://github.com/jsdom/jsdom,18765,309,20,,896.5073611111111,170.0,1349.0
facebookexperimental/Recoil,https://github.com/facebookexperimental/Recoil,18688,103,15,,425.0202777777778,49.0,1027.0
wekan/wekan,https://github.com/wekan/wekan,18602,244,249,,1016.0466666666666,385.0,1253.0
eggjs/egg,https://github.com/eggjs/egg,18488,207,4,,94.36694444444444,42.0,1200.0
semantic-release/semantic-release,https://github.com/semantic-release/semantic-release,17848,207,3,,121.17555555555556,5.0,1105.0
mysqljs/mysql,https://github.com/mysqljs/mysql,17789,131,8,,651.1413888888889,66.0,391.0
handsontable/handsontable,https://github.com/handsontable/handsontable,17788,115,281,,1180.3631944444444,2131.0,2183.0
testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,17788,177,2,,427.5423611111111,18.0,458.0
MichMich/MagicMirror,https://github.com/MichMich/MagicMirror,17734,302,6,,60.735277777777775,35.0,1622.0
basecamp/trix,https://github.com/basecamp/trix,17588,69,10,,8307.792222222222,9.0,273.0
knex/knex,https://github.com/knex/knex,17504,523,41,,1248.1081944444445,171.0,2022.0
facebookarchive/flux,https://github.com/facebookarchive/flux,17412,135,1,,1418.1377777777775,7.0,324.0
EastWorld/wechat-app-mall,https://github.com/EastWorld/wechat-app-mall,17376,28,0,,0.0,0.0,75.0
dropzone/dropzone,https://github.com/dropzone/dropzone,17308,71,3,,392.67083333333335,35.0,251.0
framework7io/framework7,https://github.com/framework7io/framework7,17260,142,0,,0.0,0.0,687.0
julianshapiro/velocity,https://github.com/julianshapiro/velocity,17213,50,5,,464.3611111111111,73.0,116.0
BoostIO/BoostNote-Legacy,https://github.com/BoostIO/BoostNote-Legacy,17185,238,0,,0.0,0.0,1364.0
handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js,17163,182,14,,349.8119444444444,132.0,522.0
motdotla/dotenv,https://github.com/motdotla/dotenv,17081,68,0,,0.0,0.0,292.0
